device_id,timestamp,heartbeat
watch2,1775123007951,80.0
watch2,1775123008987,80.0
watch2,1775123010021,80.0
watch2,1775123011055,80.0
watch2,1775123011454,81.0
watch2,1775123013170,81.0
watch2,1775123014205,81.0
watch2,1775123014473,82.0
watch2,1775123016239,82.0
watch2,1775123016494,79.0
watch2,1775123018292,79.0
watch2,1775123018513,78.0
watch2,1775123020373,78.0
watch2,1775123021408,78.0
watch2,1775123021519,79.0
watch2,1775123023443,79.0
watch2,1775123024489,79.0
watch2,1775123025552,79.0
watch2,1775123026589,79.0
watch2,1775123027679,79.0
watch2,1775123028723,79.0
watch2,1775123029761,79.0
watch2,1775123030804,79.0
watch2,1775123031846,79.0
watch2,1775123032560,78.0
watch2,1775123033577,77.0
watch2,1775123034589,76.0
watch2,1775123035976,76.0
watch2,1775123037066,76.0
watch2,1775123038108,76.0
watch2,1775123039152,76.0
watch2,1775123040182,76.0
watch2,1775123041229,76.0
watch2,1775123042307,76.0
watch2,1775123043403,76.0
watch2,1775123044446,76.0
watch2,1775123045470,76.0
watch2,1775123046514,76.0
watch2,1775123047565,76.0
watch2,1775123047657,77.0
watch2,1775123048657,77.0
watch2,1775123049647,78.0
watch2,1775123050756,78.0
watch2,1775123051790,78.0
watch2,1775123052664,79.0
watch2,1775123053666,80.0
watch2,1775123054937,80.0
watch2,1775123055997,80.0
watch2,1775123057070,80.0
watch2,1775123058109,80.0
watch2,1775123058692,81.0
watch2,1775123060230,81.0
watch2,1775123061300,81.0
watch2,1775123061727,82.0
watch2,1775123062722,83.0
watch2,1775123063736,84.0
watch2,1775123065449,84.0
watch2,1775123066547,84.0
watch2,1775123067646,84.0
watch2,1775123067765,83.0
watch2,1775123068774,82.0
watch2,1775123070782,85.0
watch2,1775123071867,85.0
watch2,1775123072798,86.0
watch2,1775123073808,87.0
watch2,1775123074957,87.0
watch2,1775123076004,87.0
watch2,1775123076822,86.0
watch2,1775123078070,86.0
watch2,1775123079098,86.0
watch2,1775123080148,86.0
watch2,1775123081199,86.0
watch2,1775123081892,87.0
watch2,1775123083262,87.0
watch2,1775123084355,87.0
watch2,1775123085412,87.0
watch2,1775123085886,89.0
watch2,1775123086888,90.0
watch2,1775123088554,90.0
watch2,1775123089588,90.0
watch2,1775123090680,90.0
watch2,1775123091740,90.0
watch2,1775123092829,90.0
watch2,1775123092897,89.0
watch2,1775123094892,89.0
watch2,1775123094922,87.0
watch2,1775123095922,87.0
watch2,1775123096950,85.0
watch2,1775123098027,85.0
watch2,1775123098960,84.0
watch2,1775123100099,84.0
watch2,1775123100986,83.0
watch2,1775123101989,81.0
watch2,1775123103200,81.0
watch2,1775123104015,79.0
watch2,1775123105017,78.0
